x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,FRE_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-123.07888888888888,49.318888888888885,27356,N VANCOUVER W KEITH RD,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,491908000,-1230444000,,64.00,110B001,,,Climate-Staffed,G,1,8,,,,,1997-08-01 00:00:00,2002-01-31 00:00:00,,,1997-08-01 00:00:00,2002-01-31 00:00:00,1997-08-01 00:00:00,2002-01-01 00:00:00,Y,N,N
-81.81666666666666,69.36666666666666,1757,IGLOOLIK A,NU,NUNAVUT,NUNAVUT,CAN,692200000,-814900000,EST,52.70,2402543,YGT,,N/A,E,1,6,,,,,1984-01-01 00:00:00,2015-01-15 13:00:00,1984-10-01 10:00:00,2015-01-15 13:00:00,1984-09-01 00:00:00,2015-01-15 00:00:00,1984-01-01 00:00:00,2007-11-01 00:00:00,Y,N,Y
-79.78333333333333,44.233333333333334,27604,EGBERT CS,ON,ONTARIO,ONTARIO,CAN,441400000,-794700000,EST,251.00,611E001,XET,71296,Climate-Auto,,,,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,2000-08-17 00:00:00,2024-10-02 12:30:01,2000-08-18 01:00:00,2024-10-02 12:30:01,2000-08-17 00:00:00,2024-10-02 00:00:00,2003-10-01 00:00:00,2006-12-01 00:00:00,Y,N,Y
-77.11723333333333,44.647777777777776,27612,KALADAR,ON,ONTARIO,ONTARIO,CAN,443852000,-770702040,EST,214.70,6153935,,,Climate-Staffed,G,1,8,,,,,1998-05-01 00:00:00,2015-12-05 00:00:00,,,1998-05-01 00:00:00,2015-12-05 00:00:00,1998-05-01 00:00:00,2006-12-01 00:00:00,Y,N,N
-78.0,44.35,27613,NORWOOD,ON,ONTARIO,ONTARIO,CAN,442100000,-780000000,EST,207.00,6165715,,,Climate-Staffed,G,1,8,,,,,1998-06-01 00:00:00,2002-04-30 00:00:00,,,1998-06-01 00:00:00,2002-04-30 00:00:00,1998-06-01 00:00:00,2002-04-01 00:00:00,Y,N,N
-75.36529333333333,45.00085,27614,OAK VALLEY,ON,ONTARIO,ONTARIO,CAN,450003060,-752155056,EST,80.50,6105730,,,Climate-Staffed,G,1,8,,,,,1998-06-01 00:00:00,2009-10-31 00:00:00,,,1998-06-01 00:00:00,2009-10-31 00:00:00,1998-06-01 00:00:00,2006-12-01 00:00:00,Y,N,N
-77.554745,44.293081666666666,27615,STIRLING,ON,ONTARIO,ONTARIO,CAN,441735094,-773317082,EST,130.00,6158051,,,Climate-Staffed,G,1,8,,,,,1998-06-01 00:00:00,2007-10-08 00:00:00,,,1998-06-01 00:00:00,2007-10-08 00:00:00,1998-06-01 00:00:00,2006-12-01 00:00:00,Y,N,N
-77.47752666666666,44.533345,27618,MADOC,ON,ONTARIO,ONTARIO,CAN,443200042,-772839096,EST,222.00,6154779,,,Climate-Staffed,G,1,8,,,,,1998-08-01 00:00:00,2006-12-31 00:00:00,,,1998-08-01 00:00:00,2006-12-31 00:00:00,1998-08-01 00:00:00,2006-12-01 00:00:00,Y,N,N
-64.6,47.833333333333336,6188,LAMEQUE,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,475000000,-643600000,AST,15.20,8102335,,,N/A,G,1,9,,,,,1976-01-01 00:00:00,1976-12-01 00:00:00,,,1976-04-01 00:00:00,1976-08-31 00:00:00,1976-01-01 00:00:00,1976-12-01 00:00:00,Y,N,N
-66.93333333333334,47.06666666666667,6192,LONG LAKE,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,470400000,-665600000,AST,381.00,8102500,,,N/A,,1,9,,,,,1954-01-01 00:00:00,1957-12-01 00:00:00,,,1954-09-01 00:00:00,1957-02-28 00:00:00,1954-01-01 00:00:00,1957-12-01 00:00:00,Y,N,N
-65.16666666666667,45.93333333333333,6223,PETITCODIAC,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,455600000,-651000000,AST,29.30,8103900,,,N/A,,1,9,,,,,1934-01-01 00:00:00,1954-12-01 00:00:00,,,1934-02-01 00:00:00,1954-07-31 00:00:00,1934-01-01 00:00:00,1954-12-01 00:00:00,Y,N,N
-65.73333333333333,47.8,6224,PETIT ROCHER,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,474800000,-654400000,AST,12.20,8103910,,,N/A,G,1,8,,,,,1980-01-01 00:00:00,1982-12-01 00:00:00,,,1980-04-01 00:00:00,1982-03-31 00:00:00,1980-01-01 00:00:00,1982-12-01 00:00:00,Y,N,N
-67.38333333333334,46.9,6226,PLASTER ROCK NBEPC,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,465400000,-672300000,AST,140.20,8104001,,,N/A,,1,9,,,,,1955-01-01 00:00:00,1967-12-01 00:00:00,,,1955-07-01 00:00:00,1967-07-31 00:00:00,1955-01-01 00:00:00,1967-12-01 00:00:00,Y,N,N
-66.83333333333333,45.45,6227,PLEASANT MOUNTAIN,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,452700000,-665000000,AST,190.50,8104010,,,N/A,G,1,8,,,,,1974-01-01 00:00:00,1977-12-01 00:00:00,,,1974-10-01 00:00:00,1977-11-30 00:00:00,1974-01-01 00:00:00,1977-12-01 00:00:00,Y,N,N
-64.81666666666666,47.11666666666667,6228,POINT ESCUMINAC,NB,NEW BRUNSWICK,NOUVEAU-BRUNSWICK,CAN,470700000,-644900000,AST,7.90,8104100,,,N/A,,1,9,,,,,1885-01-01 00:00:00,1951-12-31 00:00:00,,,1885-09-01 00:00:00,1951-12-31 00:00:00,1885-01-01 00:00:00,1951-12-01 00:00:00,Y,N,N
